record_id,campaign_id,date,impressions,clicks,leads,conversions,spend,revenue_attributed
47,2,2025-10-16,21026,919,132,43,105.46,401.98
48,2,2025-10-17,19418,570,62,13,98.15,265.54
49,2,2025-10-18,21759,850,99,19,120.55,136.41
50,2,2025-10-19,28761,1112,142,33,151.76,435.66
51,2,2025-10-20,43577,738,63,14,170.81,233.58
52,2,2025-10-21,16125,340,50,15,87.75,171.64
53,2,2025-10-22,25603,944,140,32,165.02,320.31
54,2,2025-10-23,37422,966,108,23,147.11,261.5
55,2,2025-10-24,30834,1314,187,36,114.2,141.69
56,2,2025-10-25,14539,466,44,8,90.04,406.92
57,2,2025-10-26,13376,264,38,6,94.72,178.66
58,2,2025-10-27,14058,597,69,21,74.21,226.22
59,2,2025-10-28,15050,404,25,4,87.41,368.09
60,2,2025-10-29,13705,281,38,6,80.64,288.19
61,2,2025-10-30,11696,382,27,4,72.32,424.34
62,2,2025-10-31,39410,959,142,26,160.2,262.53
63,3,2025-10-01,42030,1471,212,55,150.92,55.48
64,3,2025-10-02,34842,1364,164,46,242.67,117.53
65,3,2025-10-03,33573,1053,114,21,227.43,70.16
66,3,2025-10-04,54599,1569,182,29,260.2,82.82
67,3,2025-10-05,47054,1269,188,42,256.43,110.77
68,3,2025-10-06,28134,999,60,20,140.39,118.19
69,3,2025-10-07,38814,767,93,20,196.84,71.77
70,3,2025-10-08,39883,814,106,24,213.33,113.88
71,3,2025-10-09,35841,1145,156,29,185.92,148.65
72,3,2025-10-10,49732,1961,203,56,245.34,62.85
73,3,2025-10-11,27617,861,107,31,139.62,153.29
74,3,2025-10-12,39803,1155,89,25,169.03,51.24
75,3,2025-10-13,33772,1497,145,24,128.64,128.23
76,3,2025-10-14,26930,992,94,24,148.17,167.74
77,3,2025-10-15,50224,1509,165,49,257.01,158.86
78,3,2025-10-16,59239,2563,295,54,216.36,135.8
79,3,2025-10-17,71013,2960,378,108,255.54,123.74
80,3,2025-10-18,60151,1552,165,38,225.06,129.81
81,3,2025-10-19,31887,1116,94,30,209.6,99.06
82,3,2025-10-20,59363,2437,265,68,256.09,74.08
83,3,2025-10-21,17980,522,58,18,107.87,120.47
84,3,2025-10-22,33505,1473,168,51,198.86,148.29
85,3,2025-10-23,49704,881,106,19,196.47,124.52
86,3,2025-10-24,48172,861,110,20,248.34,47.67
87,3,2025-10-25,19427,503,39,13,87.83,64.24
88,3,2025-10-26,29541,1050,127,26,128.89,153.04
89,3,2025-10-27,13247,391,29,5,87.65,117.04
90,3,2025-10-28,31593,1264,96,21,190.07,100.3
91,3,2025-10-29,15678,547,55,15,89.96,155.97
92,3,2025-10-30,36905,562,34,5,156.05,119.95
93,3,2025-10-31,45981,2001,187,40,187.82,175.7
94,4,2025-10-01,9328,288,23,4,36.02,259.1
95,4,2025-10-02,8098,212,14,2,39.06,253.12
96,4,2025-10-03,4438,128,14,4,28.43,156.53
97,4,2025-10-04,5407,103,15,4,34.08,159.96
98,4,2025-10-05,8747,303,38,9,38.49,78.72
99,4,2025-10-06,9425,221,27,7,38.98,178.92
100,4,2025-10-07,3029,105,6,1,19.44,109.6
101,4,2025-10-08,5196,186,20,3,31.51,212.5
102,4,2025-10-09,8481,225,20,5,35.4,139.21
103,4,2025-10-10,2656,47,4,0,15.55,101.28
104,4,2025-10-11,6036,129,18,4,22.63,175.63
105,4,2025-10-12,2287,64,4,1,15.08,220.46
106,4,2025-10-13,10907,339,42,14,42.59,163.24
107,4,2025-10-14,2709,81,11,3,14.52,133.01
108,4,2025-10-15,3796,76,8,1,26.7,115.5
109,4,2025-10-16,7659,162,22,4,28.16,232.2
110,4,2025-10-17,5635,187,15,2,33.62,141.39
111,4,2025-10-18,6175,151,16,4,33.36,73.47
112,4,2025-10-19,5134,145,11,2,19.01,127.18
113,4,2025-10-20,4489,166,18,5,21.49,159.94
114,4,2025-10-21,8354,290,39,8,42.85,200.33
115,4,2025-10-22,6955,105,11,2,28.92,133.44
116,4,2025-10-23,5299,118,14,3,19.1,198.46
117,4,2025-10-24,7212,304,21,4,30.49,91.87
118,4,2025-10-25,4321,97,9,1,16.9,99.98
119,4,2025-10-26,6679,219,20,3,25.3,74.2
120,4,2025-10-27,2315,67,8,1,15.51,131.98
121,4,2025-10-28,10001,288,34,6,41.56,231.19
122,4,2025-10-29,4916,137,14,3,24.39,233.23
123,4,2025-10-30,3243,141,18,5,19.91,201.74
124,4,2025-10-31,3896,132,14,2,27.15,202.33
125,5,2025-10-01,15862,285,36,11,59.2,113.51
126,5,2025-10-02,15083,586,56,13,76.58,83.32
127,5,2025-10-03,15230,350,33,5,81.29,114.38
128,5,2025-10-04,14295,407,35,5,57.04,112.35
129,5,2025-10-05,16659,648,46,8,81.13,149.96
130,5,2025-10-06,9759,248,20,4,40.91,42.06
131,5,2025-10-07,18478,455,35,6,79.65,96.43
132,5,2025-10-08,14400,513,55,14,64.77,85.57
133,5,2025-10-09,11658,350,26,6,61.2,139.22
134,5,2025-10-10,10623,227,28,8,38.92,117.27
135,5,2025-10-11,13140,552,34,10,80.68,119.68
136,5,2025-10-12,10043,209,23,5,43.06,104.23
137,5,2025-10-13,13211,251,25,6,73.38,77.2
138,5,2025-10-14,8281,292,20,3,42.47,131.62
139,5,2025-10-15,6638,189,14,4,33.48,132.89
140,5,2025-10-16,15647,340,27,5,56.43,83.1
141,5,2025-10-17,4727,191,18,3,29.16,90.19
142,5,2025-10-18,7887,325,22,5,44.65,48.9
143,5,2025-10-19,11215,227,31,5,40.36,151.48
144,5,2025-10-20,8481,173,13,2,38.92,149.8
145,5,2025-10-21,5890,229,16,5,30.85,75.93
146,5,2025-10-22,11887,281,20,3,66.81,79.73
147,5,2025-10-23,12370,294,32,7,56.07,74.58
148,5,2025-10-24,6921,218,27,5,45.73,136.91
149,5,2025-10-25,11305,206,19,3,65.25,78.96
150,5,2025-10-26,6985,262,30,5,35.44,163.5
151,5,2025-10-27,7187,236,24,5,43.58,89.82
152,5,2025-10-28,8087,279,32,8,43.66,132.32
153,5,2025-10-29,12688,235,19,2,57.73,136.83
154,5,2025-10-30,9874,438,51,15,55.93,142.42
155,5,2025-10-31,11008,223,27,5,41.75,76.18
156,1,2025-11-01,26360,550,36,10,142.18,508.54
157,1,2025-11-02,16792,707,57,14,60.59,588.6
158,1,2025-11-03,22614,453,35,5,116.72,1167.69
159,1,2025-11-04,23968,658,64,19,134.95,407.3
160,1,2025-11-05,16043,630,71,16,111.64,450.83
161,1,2025-11-06,28795,1192,87,27,127.98,1255.57
162,1,2025-11-07,12913,464,29,6,57.73,1255.3
163,1,2025-11-08,16784,293,32,5,94.68,1191.48
164,1,2025-11-09,22860,1022,68,10,143.39,656.51
165,1,2025-11-10,23993,1067,79,26,144.35,1102.87
166,1,2025-11-11,32058,1308,191,53,114.78,754.43
167,1,2025-11-12,13653,568,47,13,62.75,509.68
168,1,2025-11-13,15573,449,42,9,107.3,477.81
169,1,2025-11-14,31109,938,78,12,113.09,977.07
170,1,2025-11-15,8733,350,25,5,57.51,403.71
171,1,2025-11-16,24356,545,74,24,116.89,560.23
172,1,2025-11-17,12848,258,31,9,58.13,1322.68
173,1,2025-11-18,28430,816,72,17,126.95,1049.63
174,1,2025-11-19,25483,919,105,19,95.92,1237.7
175,1,2025-11-20,15677,505,60,16,74.71,678.27
176,1,2025-11-21,20615,577,58,17,105.94,1173.66
177,1,2025-11-22,10473,242,29,4,61.4,707.43
178,1,2025-11-23,13355,428,63,13,51.65,618.56
179,1,2025-11-24,35161,1087,140,38,133.98,1083.26
180,1,2025-11-25,22865,353,40,7,114.57,1306.64
181,1,2025-11-26,22184,344,35,11,82.65,807.19
182,1,2025-11-27,20242,480,45,12,132.82,423.48
183,1,2025-11-28,16212,293,18,5,90.07,1180.35
184,1,2025-11-29,25115,754,111,30,138.7,683.52
185,1,2025-11-30,13053,257,21,4,75.17,744.01
186,2,2025-11-01,60023,2201,214,61,235.19,338.66
187,2,2025-11-02,28664,622,86,17,140.36,564.65
188,2,2025-11-03,40444,1723,127,20,213.58,577.31
189,2,2025-11-04,27769,875,75,18,109.12,338.71
190,2,2025-11-05,26940,801,71,13,177.8,496.4
191,2,2025-11-06,26249,1108,128,33,107.05,414.86
192,2,2025-11-07,38138,757,99,22,205.17,675.8
193,2,2025-11-08,33536,1070,69,11,122.83,615.31
194,2,2025-11-09,20937,588,38,7,117.83,433.58
195,2,2025-11-10,14538,274,19,4,95.96,460.77
196,2,2025-11-11,22813,817,74,21,133.42,623.22
197,2,2025-11-12,29906,785,64,11,114.19,650.06
198,2,2025-11-13,20207,566,42,8,127.64,205.82
199,2,2025-11-14,32200,720,60,13,164.54,241.72
200,2,2025-11-15,19775,408,29,5,92.59,475.29
201,2,2025-11-16,32231,1286,153,44,143.6,348.08
202,2,2025-11-17,24092,409,27,8,88.05,222.18
203,2,2025-11-18,24230,965,127,24,143.95,675.96
204,2,2025-11-19,29327,905,78,18,163.48,360.51
205,2,2025-11-20,49476,1746,203,67,212.26,389.15
206,2,2025-11-21,20778,341,25,8,95.55,410.23
207,2,2025-11-22,17137,629,78,18,86.48,292.48
208,2,2025-11-23,47716,1937,175,59,234.26,569.26
209,2,2025-11-24,25965,870,56,11,142.8,352.03
210,2,2025-11-25,44350,1810,149,33,238.04,226.47
211,2,2025-11-26,53685,1030,119,31,201.64,226.58
212,2,2025-11-27,20833,698,89,16,141.82,289.8
213,2,2025-11-28,32081,679,82,28,121.97,502.82
214,2,2025-11-29,24304,909,56,8,132.03,503.85
215,2,2025-11-30,22737,883,54,12,142.64,178.82
216,3,2025-11-01,61635,2431,250,45,339.45,167.33
217,3,2025-11-02,64491,1520,225,66,324.39,191.84
218,3,2025-11-03,40622,1627,182,36,170.96,72.71
219,3,2025-11-04,30711,762,78,14,152.68,95.35
220,3,2025-11-05,26013,1012,147,36,151.2,56.87
221,3,2025-11-06,24888,652,49,9,159.92,123.28
222,3,2025-11-07,89245,2922,409,120,336.57,138.35
223,3,2025-11-08,73890,3217,304,89,329.18,98.18
224,3,2025-11-09,60870,1979,174,54,254.73,62.08
225,3,2025-11-10,47620,1073,95,18,261.95,97.1
226,3,2025-11-11,36863,962,83,15,245.5,56.34
227,3,2025-11-12,66581,1988,184,37,311.59,183.99
228,3,2025-11-13,66219,1926,200,57,314.89,173.71
229,3,2025-11-14,67541,1774,256,76,286.34,71.02
230,3,2025-11-15,50365,971,114,24,252.72,168.43
231,3,2025-11-16,25951,410,54,11,123.29,71.53
232,3,2025-11-17,31283,1246,130,26,130.59,126.61
233,3,2025-11-18,53444,1464,117,24,305.84,58.31
234,3,2025-11-19,44556,1584,107,34,282.27,142.7
235,3,2025-11-20,31731,804,95,27,192.49,101.82
236,3,2025-11-21,46139,865,95,21,274.36,154.98
237,3,2025-11-22,72282,3164,383,89,268.85,129.48
238,3,2025-11-23,66192,1682,213,36,313.51,132.42
239,3,2025-11-24,43875,764,74,19,186.84,181.21
240,3,2025-11-25,35790,794,114,22,245.07,98.39
241,3,2025-11-26,31936,1324,116,33,170.03,150.73
242,3,2025-11-27,23829,777,75,14,139.62,192.16
243,3,2025-11-28,38671,1172,109,29,143.04,192.12
244,3,2025-11-29,35053,1200,118,31,128.48,71.6
245,3,2025-11-30,66465,2512,349,92,304.71,189.9
246,4,2025-11-01,6231,278,35,5,27.35,232.98
247,4,2025-11-02,4455,132,8,2,23.62,111.97
248,4,2025-11-03,6318,128,11,2,22.69,242.57
249,4,2025-11-04,2553,110,7,1,14.77,117.19
250,4,2025-11-05,3922,116,9,1,27.74,211.14
251,4,2025-11-06,5939,164,16,4,28.24,181.47
252,4,2025-11-07,3081,67,6,1,13.2,172.13
253,4,2025-11-08,3282,83,8,2,16.59,105.58
254,4,2025-11-09,4243,156,11,2,21.78,158.2
255,4,2025-11-10,5206,215,29,8,20.67,79.94
256,4,2025-11-11,3765,58,7,1,18.31,216.36
257,4,2025-11-12,4774,171,16,4,26.14,209.33
258,4,2025-11-13,3624,91,8,1,21.06,204.12
259,4,2025-11-14,3674,81,11,1,25.91,218.03
260,4,2025-11-15,8029,293,26,7,34.29,238.93
261,4,2025-11-16,3482,87,12,4,23.31,94.76
262,4,2025-11-17,5375,230,24,3,35.1,209.47
263,4,2025-11-18,6368,135,12,2,25.14,187.94
264,4,2025-11-19,5047,121,9,1,18.6,197.58
265,4,2025-11-20,4934,160,13,1,19.06,150.05
266,4,2025-11-21,4037,147,17,4,17.9,204.19
267,4,2025-11-22,6514,168,15,4,37.99,73.11
268,4,2025-11-23,5006,181,22,3,29.78,88.52
269,4,2025-11-24,5654,161,11,3,30.37,258.19
270,4,2025-11-25,3491,78,7,1,13.98,228.75
271,4,2025-11-26,4026,145,18,3,26.95,158.46
272,4,2025-11-27,3621,113,7,1,20.02,238.41
273,4,2025-11-28,6992,211,29,9,33.18,187.23
274,4,2025-11-29,5637,183,18,4,35.93,81.73
275,4,2025-11-30,6627,180,16,3,27.43,116.31
276,5,2025-11-01,22306,873,82,26,93.55,150.77
277,5,2025-11-02,17292,551,73,23,72.3,115.51
278,5,2025-11-03,19933,456,59,11,91.16,104.56
279,5,2025-11-04,20617,507,52,16,84.62,133.92
280,5,2025-11-05,13713,303,32,10,56.89,85.0
281,5,2025-11-06,13125,573,81,23,52.76,78.56
282,5,2025-11-07,12968,329,31,7,67.74,49.44
283,5,2025-11-08,9421,325,41,12,43.02,149.29
284,5,2025-11-09,22455,595,36,6,91.31,127.2
285,5,2025-11-10,18358,292,27,7,80.1,49.04
286,5,2025-11-11,7495,231,24,8,51.76,65.7
287,5,2025-11-12,9368,394,55,18,58.71,38.98
288,5,2025-11-13,16445,712,52,15,75.83,103.14
289,5,2025-11-14,17489,487,38,6,67.44,88.71
290,5,2025-11-15,5546,212,22,7,32.38,114.38
291,5,2025-11-16,7675,262,29,8,54.77,87.97
292,5,2025-11-17,9844,385,52,16,53.03,115.83
293,5,2025-11-18,9863,225,30,5,68.14,95.97
294,5,2025-11-19,11247,170,24,8,46.55,84.69
295,5,2025-11-20,10459,324,41,8,48.21,88.57
296,5,2025-11-21,15434,464,50,8,72.65,127.0
297,5,2025-11-22,6336,278,36,8,41.35,63.67
298,5,2025-11-23,15401,459,48,7,86.48,53.81
299,5,2025-11-24,4907,75,5,1,33.33,77.14
300,5,2025-11-25,9742,370,22,3,38.93,75.71
301,5,2025-11-26,24393,1042,104,26,88.62,117.25
302,5,2025-11-27,18154,685,55,11,89.99,68.96
303,5,2025-11-28,12233,393,52,14,62.33,67.37
304,5,2025-11-29,5151,93,10,3,33.31,109.42
305,5,2025-11-30,9374,171,25,5,54.93,46.79
306,1,2025-12-01,25475,656,43,7,106.43,941.98
307,1,2025-12-02,21987,562,48,14,131.28,943.38
308,1,2025-12-03,22271,376,28,7,100.85,476.09
309,1,2025-12-04,23351,860,69,20,104.93,1021.67
310,1,2025-12-05,14164,390,39,12,69.89,834.72
311,1,2025-12-06,12865,517,55,18,50.18,921.02
312,1,2025-12-07,34647,1331,179,27,130.65,1116.24
313,1,2025-12-08,18420,580,62,12,66.66,901.13
314,1,2025-12-09,15642,281,21,4,109.4,939.82
315,1,2025-12-10,18785,633,76,18,111.4,859.73
316,1,2025-12-11,9204,278,38,9,47.58,684.66
317,1,2025-12-12,11999,297,23,7,79.37,612.29
318,1,2025-12-13,11970,199,19,4,56.65,1092.57
319,1,2025-12-14,28007,1249,162,50,125.59,788.06
320,1,2025-12-15,24453,1008,65,11,99.06,896.25
321,1,2025-12-16,25413,715,45,11,137.56,1262.52
322,1,2025-12-17,27556,424,41,9,117.19,494.82
323,1,2025-12-18,20654,708,59,15,92.52,777.46
324,1,2025-12-19,20155,756,77,14,108.77,484.59
325,1,2025-12-20,16763,728,89,15,84.67,867.09
326,1,2025-12-21,23692,899,82,24,116.5,619.38
327,1,2025-12-22,34932,1387,149,51,137.79,601.09
328,1,2025-12-23,17842,775,86,13,77.02,1004.48
329,1,2025-12-24,15631,591,40,6,57.31,814.12
330,1,2025-12-25,20231,444,61,10,115.64,771.88
331,1,2025-12-26,17861,800,94,15,89.82,591.25
332,1,2025-12-27,23819,363,41,7,85.5,1143.05
333,1,2025-12-28,30088,652,64,18,115.58,1263.97
334,1,2025-12-29,13393,372,30,8,63.39,780.03
335,1,2025-12-30,22482,801,109,33,116.64,1175.74
336,1,2025-12-31,22931,953,69,20,100.88,550.6
337,2,2025-12-01,21866,636,68,23,116.8,473.12
338,2,2025-12-02,19580,777,60,10,90.59,204.89
339,2,2025-12-03,28860,558,37,6,110.01,393.85
340,2,2025-12-04,36391,1326,161,53,146.62,391.7
341,2,2025-12-05,34420,775,75,23,125.53,494.51
342,2,2025-12-06,47479,747,90,19,207.73,518.73
343,2,2025-12-07,52549,1973,241,56,213.58,312.92
344,2,2025-12-08,14188,265,30,5,85.22,516.08
345,2,2025-12-09,38023,1383,104,35,153.28,239.24
346,2,2025-12-10,24564,1007,129,41,103.38,328.84
347,2,2025-12-11,21676,889,60,15,98.01,223.7
348,2,2025-12-12,16505,514,38,9,110.76,273.35
349,2,2025-12-13,25544,583,35,11,147.26,489.42
350,2,2025-12-14,20402,865,91,21,121.14,217.47
351,2,2025-12-15,25875,395,58,15,98.78,390.15
352,2,2025-12-16,34176,615,82,20,179.46,500.63
353,2,2025-12-17,26544,515,65,14,173.57,384.89
354,2,2025-12-18,31583,1333,117,24,146.5,197.18
355,2,2025-12-19,31232,1110,118,38,160.89,246.07
356,2,2025-12-20,32771,1328,144,26,148.47,212.1
357,2,2025-12-21,28344,822,114,21,157.01,383.65
358,2,2025-12-22,17666,716,61,9,101.43,284.49
359,2,2025-12-23,38170,746,96,18,138.58,419.95
360,2,2025-12-24,18577,306,41,8,101.17,476.98
361,2,2025-12-25,43597,1480,146,51,198.23,324.62
362,2,2025-12-26,18457,829,52,17,107.84,384.01
363,2,2025-12-27,12332,337,43,10,80.23,500.44
364,2,2025-12-28,45303,1172,103,16,212.31,508.37
365,2,2025-12-29,33317,1114,159,54,178.76,337.8
366,2,2025-12-30,17654,669,46,6,93.27,478.74
367,2,2025-12-31,16851,622,80,23,116.14,296.32
368,3,2025-12-01,21245,585,36,6,150.83,129.14
369,3,2025-12-02,28261,1127,130,43,168.33,177.5
370,3,2025-12-03,42765,1042,69,10,269.35,218.79
371,3,2025-12-04,42461,1043,106,35,196.39,147.39
372,3,2025-12-05,44885,1143,158,52,297.92,85.91
373,3,2025-12-06,42466,1366,124,37,170.97,219.81
374,3,2025-12-07,44849,763,109,31,297.65,62.06
375,3,2025-12-08,53413,1071,127,19,277.5,169.72
376,3,2025-12-09,26968,748,74,14,186.94,225.75
377,3,2025-12-10,43047,1648,172,28,185.56,225.74
378,3,2025-12-11,40084,1485,97,25,211.02,195.41
379,3,2025-12-12,46867,1762,197,35,287.15,158.26
380,3,2025-12-13,79999,3361,223,68,291.81,91.7
381,3,2025-12-14,39172,1386,100,31,150.47,150.5
382,3,2025-12-15,47573,1877,183,43,303.35,157.39
383,3,2025-12-16,34256,572,72,25,184.31,67.69
384,3,2025-12-17,31474,690,78,15,140.5,193.53
385,3,2025-12-18,40448,1050,133,24,165.06,231.84
386,3,2025-12-19,26747,1182,130,32,165.85,130.57
387,3,2025-12-20,46248,2010,295,93,172.72,68.0
388,3,2025-12-21,38173,1255,142,25,216.94,129.77
389,3,2025-12-22,66173,1030,82,12,272.06,194.91
390,3,2025-12-23,30882,978,116,36,201.26,105.06
391,3,2025-12-24,44515,694,102,30,241.01,67.92
392,3,2025-12-25,44318,1543,139,21,170.66,179.46
393,3,2025-12-26,48180,1397,105,16,180.06,159.1
394,3,2025-12-27,21465,690,55,9,121.96,104.79
395,3,2025-12-28,34302,1393,84,15,126.32,81.87
396,3,2025-12-29,39287,1183,100,33,167.08,130.04
397,3,2025-12-30,41213,875,75,15,198.0,180.02
398,3,2025-12-31,27303,520,49,14,194.07,126.92
399,4,2025-12-01,5573,176,19,3,34.68,138.11
400,4,2025-12-02,6249,160,21,6,27.23,125.93
401,4,2025-12-03,5664,136,15,4,31.56,212.72
402,4,2025-12-04,3228,123,11,3,16.52,81.37
403,4,2025-12-05,4684,149,21,7,23.39,236.86
404,4,2025-12-06,3836,103,11,2,19.2,248.58
405,4,2025-12-07,3782,84,6,1,17.39,270.26
406,4,2025-12-08,5409,164,20,3,20.56,218.31
407,4,2025-12-09,5258,116,10,2,18.99,221.63
408,4,2025-12-10,7889,245,22,4,37.03,169.08
409,4,2025-12-11,9202,218,30,5,34.97,270.83
410,4,2025-12-12,4208,153,15,3,20.19,264.58
411,4,2025-12-13,8605,245,24,4,32.88,123.85
412,4,2025-12-14,6431,176,19,5,29.15,219.74
413,4,2025-12-15,6409,160,16,3,23.16,260.45
414,4,2025-12-16,8028,280,36,7,29.72,98.94
415,4,2025-12-17,5996,187,25,6,22.58,124.75
416,4,2025-12-18,9312,221,15,4,38.1,197.27
417,4,2025-12-19,8933,208,16,3,39.27,149.79
418,4,2025-12-20,5023,178,21,5,32.5,114.55
419,4,2025-12-21,7305,202,28,7,31.11,262.77
420,4,2025-12-22,3928,107,9,1,23.76,194.35
421,4,2025-12-23,2656,119,16,3,14.25,201.7
422,4,2025-12-24,6154,152,15,2,38.38,102.71
423,4,2025-12-25,5710,217,29,5,35.67,205.22
424,4,2025-12-26,6096,189,17,4,26.53,207.3
425,4,2025-12-27,4499,151,14,3,20.31,298.28
426,4,2025-12-28,4003,180,23,7,21.22,243.6
427,4,2025-12-29,2760,107,8,2,18.57,242.26
428,4,2025-12-30,3607,97,10,2,18.83,199.75
429,4,2025-12-31,4286,97,12,3,16.69,251.08
430,5,2025-12-01,5266,202,18,2,29.58,110.31
431,5,2025-12-02,6804,250,22,6,43.28,122.07
432,5,2025-12-03,11519,374,40,7,55.36,135.39
433,5,2025-12-04,19204,719,62,14,72.26,85.48
434,5,2025-12-05,11556,419,46,13,41.38,61.37
435,5,2025-12-06,5939,241,34,8,38.05,122.3
436,5,2025-12-07,9300,384,57,13,40.73,76.05
437,5,2025-12-08,21684,869,107,36,84.37,86.03
438,5,2025-12-09,20070,848,120,38,86.01,58.92
439,5,2025-12-10,11776,227,26,6,48.21,133.56
440,5,2025-12-11,15904,295,26,7,75.96,104.88
441,5,2025-12-12,6077,260,31,6,29.42,98.95
442,5,2025-12-13,16529,641,41,7,85.74,50.18
443,5,2025-12-14,16049,478,43,10,82.07,75.84
444,5,2025-12-15,24493,1014,113,32,87.89,78.78
445,5,2025-12-16,13945,519,46,10,69.66,44.54
446,5,2025-12-17,21275,611,67,18,76.0,64.26
447,5,2025-12-18,6493,219,22,6,30.68,64.1
448,5,2025-12-19,14715,595,59,10,56.37,47.9
449,5,2025-12-20,7455,255,38,10,49.68,59.25
450,5,2025-12-21,9543,396,28,6,47.97,65.62
451,5,2025-12-22,15966,666,49,13,77.72,73.28
452,5,2025-12-23,9907,354,24,7,69.28,78.58
453,5,2025-12-24,17895,479,31,6,70.5,37.41
454,5,2025-12-25,14504,258,18,5,70.42,123.03
455,5,2025-12-26,16465,436,43,14,68.69,117.37
456,5,2025-12-27,7964,271,23,6,46.09,34.49
457,5,2025-12-28,13344,426,34,6,67.51,104.71
458,5,2025-12-29,9547,404,41,11,39.07,132.78
459,5,2025-12-30,8805,387,24,5,50.73,124.93
460,5,2025-12-31,8190,320,43,12,42.45,45.88
461,1,2026-01-01,17427,475,41,6,90.71,758.54
462,1,2026-01-02,13571,603,36,12,58.2,1217.63
463,1,2026-01-03,10842,292,30,9,74.75,1458.32
464,1,2026-01-04,14985,642,72,22,89.88,524.29
465,1,2026-01-05,33545,677,97,25,167.09,1002.34
466,1,2026-01-06,21794,608,38,10,124.89,1376.25
467,1,2026-01-07,18180,535,68,18,95.05,774.03
468,1,2026-01-08,27280,1117,87,28,142.94,1171.72
469,1,2026-01-09,12765,566,57,10,85.46,761.2
470,1,2026-01-10,37682,1164,71,11,144.08,666.15
471,1,2026-01-11,27609,577,48,14,170.08,862.1
472,1,2026-01-12,15395,299,36,11,102.11,1158.56
473,1,2026-01-13,36695,690,83,16,144.62,662.83
474,1,2026-01-14,38277,1159,171,25,157.0,892.35
475,1,2026-01-15,14332,524,34,8,87.66,1167.39
476,1,2026-01-16,19155,792,94,18,87.96,1262.44
477,1,2026-01-17,31411,1191,164,48,144.4,1460.75
478,1,2026-01-18,22330,604,42,12,140.44,515.95
479,1,2026-01-19,17809,722,64,16,125.43,389.33
480,1,2026-01-20,23165,802,119,18,124.44,1374.39
481,1,2026-01-21,12040,437,27,9,70.69,398.21
482,1,2026-01-22,28447,1188,107,37,119.89,1224.47
483,1,2026-01-23,31671,1159,138,43,137.81,768.83
484,1,2026-01-24,20605,374,30,4,124.27,423.24
485,1,2026-01-25,18929,296,21,5,103.73,852.67
486,1,2026-01-26,13594,379,38,8,75.24,1469.43
487,1,2026-01-27,13890,493,61,16,86.35,956.24
488,1,2026-01-28,25195,723,96,26,155.32,831.81
489,1,2026-01-29,26660,1120,140,37,150.72,1272.73
490,1,2026-01-30,39993,778,63,10,153.42,822.99
491,1,2026-01-31,29329,1292,118,34,152.98,1229.04
492,2,2026-01-01,37575,1141,78,12,144.25,417.66
